,value
radial_rms,0.033483956044216286
axial_rms,0.020956413982025152
radial_std,0.03348094005630685
axial_std,0.020954304234709387
radial_peak,0.06433316481506333
axial_peak,0.04134697030856995
radial_crest_factor,1.9212988581911408
axial_crest_factor,1.9731209736384665
radial_kurtosis,2.178104217204558
axial_kurtosis,2.0987795363533333
radial_dominant_freq_hz,40.0
axial_dominant_freq_hz,40.0
radial_energy_0_30hz,1.8464489167032703
radial_energy_30_80hz,20.579946054951968
radial_energy_80_200hz,0.0
axial_energy_0_30hz,0.8274881994488074
axial_energy_30_80hz,7.95716613196439
axial_energy_80_200hz,0.0
temp_mean,37.774989613664374
temp_max,38.675163967583245
temp_min,36.87956690819628
temp_delta,1.7955970593869612
temp_slope,0.007694346450971379
current_mean,0.6999418004326468
current_max,0.7548760145162948
current_min,0.6445213310310461
current_std,0.019999603015077142
current_delta,0.11035468348524875
current_inrush_flag,0.0
