,value
radial_rms,0.00040281705713492513
axial_rms,0.00028400987955251876
radial_std,0.0004028253538157204
axial_std,0.00028406615272759774
radial_peak,0.0029563474516127878
axial_peak,0.0018831837573912145
radial_crest_factor,0.08485356958796826
axial_crest_factor,0.0888284264186929
radial_kurtosis,0.03389845372535136
axial_kurtosis,0.039293080918695635
radial_dominant_freq_hz,1e-06
axial_dominant_freq_hz,1e-06
radial_energy_0_30hz,0.1425290378844734
radial_energy_30_80hz,0.5160433473398182
radial_energy_80_200hz,1e-06
axial_energy_0_30hz,0.06282749849631478
axial_energy_30_80hz,0.22773602666224912
axial_energy_80_200hz,1e-06
temp_mean,4.6117408051640645
temp_max,4.6640050493000205
temp_min,4.562423637499597
temp_delta,0.19679448633017693
temp_slope,0.0009668631535781341
current_mean,0.0014601206255523158
current_max,0.008337131878894302
current_min,0.00777697956245051
current_std,0.0009768353960416347
current_delta,0.011705152243200805
current_inrush_flag,1e-06
